,precision,recall,f1-score,support
Angry,0.8,0.8247422680412371,0.8121827411167513,97.0
Calm,0.7435897435897436,0.7073170731707317,0.725,82.0
Happy,0.7575757575757576,0.704225352112676,0.7299270072992701,71.0
Sad,0.7378640776699029,0.7835051546391752,0.76,97.0
accuracy,0.760806916426513,0.760806916426513,0.760806916426513,0.760806916426513
macro avg,0.7597573947088511,0.754947461990955,0.7567774371040052,347.0
weighted avg,0.7606197501331942,0.760806916426513,0.7601629492984815,347.0
