,precision,recall,f1-score,support
Angry,0.93,0.9587628865979382,0.9441624365482234,97.0
Calm,0.8470588235294118,0.8780487804878049,0.8622754491017964,82.0
Happy,0.927536231884058,0.9014084507042254,0.9142857142857143,71.0
Sad,0.9032258064516129,0.865979381443299,0.8842105263157894,97.0
accuracy,0.9020172910662824,0.9020172910662824,0.9020172910662824,0.9020172910662824
macro avg,0.9019552154662707,0.9010498748083169,0.9012335315628809,347.0
weighted avg,0.9024115251267618,0.9020172910662824,0.9019396251828308,347.0
