feature,importance
mfcc_3_max,0.002383968
mfcc_12_std,0.0023602408
mfcc_delta2_6_std,0.0023454635
mfcc_9_max,0.002336166
mfcc_20_min,0.0023300122
mfcc_delta2_15_mean,0.0023293328
mfcc_4_std,0.0023067233
mfcc_19_std,0.0022954894
mfcc_delta2_10_mean,0.0022912875
mfcc_delta2_6_mean,0.0022224423
mfcc_13_std,0.0022142972
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0021987616
mfcc_delta_4_mean,0.0021479335
mfcc_delta2_18_std,0.0020922078
mfcc_delta2_16_std,0.0020749592
mfcc_delta2_8_mean,0.0020384586
mfcc_16_std,0.0019988976
mfcc2_sma3_amean,0.0019983987
F3frequency_sma3nz_stddevNorm,0.0019927316
mfcc1V_sma3nz_amean,0.0019920792
mfcc_15_max,0.0019874298
mfcc_18_std,0.0019833576
mfcc_delta_10_mean,0.0019785685
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0019774416
mfcc3V_sma3nz_stddevNorm,0.0019696571
F2bandwidth_sma3nz_stddevNorm,0.0019098212
mfcc_delta_3_mean,0.0019084511
mfcc_delta_13_std,0.0019015914
F2bandwidth_sma3nz_amean,0.0018863123
spectralFluxV_sma3nz_stddevNorm,0.001862908
mfcc_delta_6_mean,0.0018571813
mfcc_delta2_16_mean,0.00185398
mfcc_6_mean,0.0018370777
spectralFlux_sma3_stddevNorm,0.001835956
mfcc_delta2_15_std,0.0018138634
mfcc_delta_13_mean,0.0018064054
mfcc_delta2_20_std,0.0017456472
mfcc_2_max,0.0017310595
jitterLocal_sma3nz_amean,0.0017268058
mfcc_delta2_5_std,0.0016620033
mfcc_20_std,0.0016476816
mfcc_delta_12_mean,0.0016476486
mfcc_delta2_3_std,0.001625857
mfcc_delta_8_mean,0.0016129338
logRelF0-H1-A3_sma3nz_amean,0.0016127019
logRelF0-H1-H2_sma3nz_amean,0.0016063532
mfcc_10_max,0.0016006103
mfcc_2_mean,0.0015863747
mfcc_delta2_4_std,0.0015504496
mfcc_delta2_9_std,0.0015405078
mfcc2V_sma3nz_stddevNorm,0.0015399294
mfcc_delta_19_mean,0.0015397118
mfcc_delta2_3_mean,0.0015272219
mfcc_delta_14_mean,0.0015121894
mfcc_delta_20_mean,0.0015003443
mfcc_5_max,0.0014967985
mfcc_delta_15_mean,0.001489992
